X,Y,OBJECTID,reference,dateofocc,subreg,hostility_d,victim_d,description,hostilitytype_l,victim_l,navarea
-75.1333332999845,21.9333333003936,1,1990-9,1990/06/03 00:00:00+00,26,CUBAN GUNBOAT,BELESBAT QUEEN,A CUBAN GUNBOAT COMMANDEERED LUXURY YACHT BELESBAT QUEEN (145 FEET)    14 MILES NORTH OF CUBA ON 13 JUNE 1990.  THE CUBAN GUNBOAT             FIRED SHOTS ACROSS THE YACHT'S BOW SEVERAL TIMES.  CUBAN               AUTHORITIES HELD THE YACHT THE MASTER AND CREW OF 10 IN THE PORT       OF VITA FOR 5 DAYS BEFORE RELEASING THE YACHT AND CREW.  THE           YACHT WAS IN AN INTERNATIONAL SHIPPING LANE KNOWN AS THE               OLD BAHAMA CHANNEL WHEN SHE WAS INTERCEPTED.,2,11,IV
108.000000000241,3.00000000044236,2,1990-10,1990/03/20 00:00:00+00,71,PIRATES,RO/RO SEA DRAGON,"20 MARCH 1990. BORNEO.                                                                                                                        PIRATES HELD THE MASTER OF THE SEA DRAGON BEFORE ROBBING               HIM OF US$ 7,000 AND VALUABLES.  THE INCIDENT OCCURRED 24 MILES        SOUTH-EAST OF MIDAI ISLAND OFF BORNEO.",1,3,XI
89.9999999996586,-0.99999999968702,3,1990-11,1990/03/20 00:00:00+00,61,PIRATES,RO/RO SUNRISE,20 MARCH 1990. SINGAPORE.                                                                                                                     FOUR MEN WITH KNIVES BOARDED THE SUNRISE ON 20 MARCH 1990 NEAR         HORSBURGH LIGHTHOUSE.  THE PIRATES TIED UP THE MASTER IN HIS CABIN     AND ESCAPED WITH CASH AND VALUABLES.,1,3,VIII
41.999999999905,13.9999999998988,4,1989-16,1989/01/01 00:00:00+00,62,PEOPLES DEMOCRATIC REPUBLIC OF YEMEN,U.S. MARINERS,"RED SEA, YEMEN                                                                                                                                1. MARINERS ARE ADVISED THAT CAUTION SHOULD BE OBSERVED IN ENTERING       THE TWELVE NAUTICAL MILE TERRITORIAL SEA CLAIMED BY THE PEOPLES        DEMOCRATIC REPUBLIC OF YEMEN (PDRY). THE UNITED STATES DOES NOT        ENJOY DIPLOMATIC RELATIONS WITH THE PDYR AND THERE HAVE BEEN           PREVIOUS INCIDENTS OF ATTACK ON AMERICAN SHIPS.                     2. THE PUBLICATION OF THIS NOTICE IS SOLELY FOR THE PURPOSE OF            ADVISING UNITED STATES MARINERS OF INFORMATION RELEVANT TO             NAVIGATIONAL SAFETY AND IN NO WAY CONSTITUTES A LEGAL                  RECOGNITION BY THE UNITED STATES OF THE VALIDITY OF ANY FOREIGN        RULE, REGULATION, OR PROCLAMATION SO PUBLISHED.                                                                                            SEE SPECIAL WARNING 76",2,13,IX
80.3000000003341,13.0999999995998,5,1989-17,1989/09/23 00:00:00+00,63,PIRATES,LASH STONEWALL JACKSON,"Indian ocean                                                                                                                                  On Sept. 24th 1989 0200hrs. (local time) while approaching the pilot   Station at madras, India, the vessel Stonewall Jackson was boarded     By thieves.                                                            The vessel slowed for pilot afterwhich it was boarded from a fishing   Boat showing no lights. Crew was held up at knife point. Thieves       Stole aluminum ladders only. No reported injuries.",1,11,VIII
-38.4833340002255,-12.7833340003836,6,1989-18,1989/12/14 00:00:00+00,24,PIRATES,CHEMICAL CARRIER:STOLT EAGLE,"ARATU, BRAZIL  14 DECEMBER 1989                                                                                                               While at anchor in the harbor of Aratu, Brazil, the STOLT EAGLE        was boarded by (6) six pirates. The pirates were all dressed in        boiler suits and armed with machine guns, revolvers, and knives.       The Master was forced to his cabin where at least $15,000 was          stolen along with other personal possessions. The Master, Chief        Officer, and First Assistant Engineer were seriously injured. The      pirates left about 0240 (local time) and rowed away in a small         boat. Efforts were made to contact Police ashore to apprehend the      pirates but to no avail.",1,11,V
45.000000000002,10.5000000002352,7,1989-19,1989/12/05 00:00:00+00,62,MOGADISHU REBELS,ALL SHIPPING,"The Somali National Movement (SNM) warns all shipping agencies     not to cooperate with the dying regime of Mogadishu,because they       are not able to ensure the safety of ships and their crews against     any dangers that they may be exposed to.                                   For this reason on December 5, 1989, the SNM Coast Guard           seized a ship flying a Panamanian flag enroute to Berbera,Somalia.     This is a major port still in the hands of the loyalist troops of      the Mogadishu Regime. This is the third ship the SNM has seized.",6,13,IX
-80.0000000004432,9.99999999976939,8,1989-20,1989/12/20 00:00:00+00,26,PIRATE,CONTAINER SHIP,"PANAMA CANAL. 20 DECEMBER 1989.                                                                                                               THE MOTOR CONTAINER SHIP ASIAN SENATOR, LIBERIAN REGISTRY,             O.N. 8561, WAS BOARDED AND TAKEN OVER BY SEVENTEEN PIRATES ON 20       DECEMBER 1989 WHILE THE SHIP WAS AT PIER 9, PORT COLON, ON THE         CARIBBEAN SIDE OF THE PANAMA CANAL.                                                                                                           SEE SPECIAL WARNING 74",1,3,IV
-80.9999999995762,-2.99999999975171,9,1990-1,1989/06/27 00:00:00+00,22,PIRATES,S/S MALLORY LYKES,"Guayaquil Equador.                                                                                                                            At 270015z Dec 1989 during undocking at Guayaquil, the channel         Pilot noted pirates alongside starboard side stealing bags of          Coffee into a small boat.  Pilots radioed police but by the time       They responded the deck department had ran the pirates off.",1,11,XII
124.233333300195,8.2333333000405,10,1989-6,1989/07/01 00:00:00+00,92,PIRATES,M/V ISLA LUZON,"PHILLIPINES.                                                           THE M/V ISLA LUZON WAS SEIZED BY 18 GUNMEN OFF OF THE SOUTHERN PORT    CITY OF ILIGAN. THREE CREWMEN WERE TAKEN HOSTAGE AND 27 WERE SET       ADRIFT ON A RUBBER RAFT  THE ISLA LUZON WAS BOUND FOR CEBU ISLAND      WITH A CARGO OF STEEL AT THE TIME OF SEIZURE. TWO OTHER VESSELS HAVE   BEEN HIJACKED IN THE PAST YEAR IN THIS AREA.                                                                                                  POSITION GIVEN FOR REFERENCE ONLY, NOT ACTUALE LOCATION OF INCIDENT.",1,5,XI
